Blog Title, Number of posts, URL, Description
"Humans of New York", 6958 posts in Humans of New York, http://www.humansofnewyork.com/, "None"
"On The Road", 1154 posts in On The Road, https://nprontheroad.tumblr.com/, "Travel with NPR reporters as they cover stories at home and around the globe."
